All Spare Parts /SNo,All Spare Parts /Item,All Spare Parts /Current Location,All Spare Parts /New Location,All Spare Parts /Status,All Spare Parts /Unit
234,Star Screw 1. 1/4 Inch,6SP-01,,No,Pcs
235,Star Screw 1/2 Inch,6SP-01,,No,Pcs
236,Lift door Sleeper,6SP-01,,Yes,Pcs
237,Compressor pressure Switch Set,6SP-01,,No,Pcs
238,Adjustable Angle wranches,6SP-01,,Found Extra,
239,Pump Motor,6SP-01,,Found Extra,
240,AC ADAPTER,6SP-01,,Found Extra,
241,Over Load Relay ( 1- 12 A ),6SP-02,,No,Pcs
242,Overload -(0.2-5A),6SP-02,,Yes,Pcs
243,Overload Switch Motor (220V - 20A),6SP-02,,Yes,Pcs
244,Relay  24V DC- 8Ap(8pin),6SP-02,,Yes,Pcs
245,Relay 24 VAC (08 Pin),6SP-02,,Yes,Pcs
246,Relay 24VDC (4pin),6SP-02,,Yes,Pcs
247,Relay 24VDC 08 Pin,6SP-02,,No,Pcs
248,Relay 5A Coil Volt 12 V Dc (08 Pin),6SP-02,,No,Pcs
249,Relay 5A Coil Volt 24 VDc (14 Pin),6SP-02,,Yes,Pcs
250,Relay Base  (11 Pin),6SP-02,,Yes,Pcs
251,Relay base 8 pin(Aps),6SP-02,,Yes,Pcs
252,Relay-24v Dc (14 PIN),6SP-02,,No,Pcs
253,Rilay-8 Pin(24v-Dc),6SP-02,,Yes,Pcs
254,Rilay-Base,6SP-02,,No,Pcs
255,Relay 24VAC(12A-8Pin),6SP-02,,Found Extra,
256,Swich,6SP-02,,Found Extra,
257,Relay 5A Coil T 12CDC (08Pin),6SP-02,,No,
258,Battery 6 V,6SP-03,,No,Pcs
259,Allen Key Set,6SP-03,,No,pcs
260,Royal Plug 1Inch,7C-R02,,Others Location,Pkt
261,Blezing Road,6SP-03,,Found Extra,
262,Mag-24VDC-3,6SP-03,,Found Extra,
263,Magnetic Contact 24/V 60A,6SP-03,,Found Extra,
264,TeSys Control,6SP-03,,Found Extra,
265,Blezing Road Brass,6SP-03,,Found Extra,
266,Magnetic-24VDC 3no Inc-20A,6SP-03,,Found Extra,
267,Blezing Road,6SP-03,,No,Pcs
268,Hand Gloves(Cotton),6SP-03,,No,pcs
269,"Magnatic Contact  24V/30 amp(2 no,2nc Four Pole)",6SP-04,,No,Pcs
270,Magnatic Contact (40A-220 V),6SP-04,,No,Pcs
271,"Magnatic Contact 24 v/30 Amp(4 no,4 pole)",6SP-04,,No,Pcs
272,Magnatic Contact 24v DC/30 A,6SP-04,,No,Pcs
273,Magnetic Cont actor ( Coil Volt-220V-80A),6SP-04,,No,Pcs
274,Magnetic Contact (220v/25A),6SP-04,,No,Pcs
275,Magnetic Contact 24v/ac (4 pole),6SP-04,,Yes,Pcs
276,Magnetic Contactor (24v Ac/35A),6SP-04,,No,Pcs
277,Magnetic Contactor 48 Vac,6SP-04,,No,Pcs
278,Magnetic contract-24v Dc-3no 1Nc-20A,6SP-04,,No,Pcs
279,TeSys Control,6SP-04,,No,
280,"Mag-Cont-24V(2no,2nc)",6SP-04,,Found Extra,
281,Mag-Cont Good Electric,6SP-04,,Found Extra,
282,AC Regulator Switch,6SP-05,,Yes,Pcs
283,Connector (12 Pin),6SP-05,,Yes,Pcs
284,Connector 02 Pin (65A),6SP-05,,Yes,Pcs
285,Connector -12 Pin (Male Famale),6SP-05,,Yes,Pcs
286,Connector -15 Pin (Male Famale),6SP-05,,Yes,Pcs
287,Connector -4 Pin (Male Female),6SP-05,,Yes,Pcs
288,ON-Off Push Switch Big,6SP-05,,Yes,Pcs
289,On-Off Switch,6SP-05,,Yes,Pcs
290,Power Switch,6SP-05,,Yes,Pcs
